locusId	sysName	desc	comb	setATCH264 M9
HER17_RS12260	HER17_RS12260	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE	HER17_RS12260 bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE	-0.081526325509953
HER17_RS12265	HER17_RS12265	amidohydrolase	HER17_RS12265 amidohydrolase	-0.0160785478948124
HER17_RS12285	HER17_RS12285	3-phosphoshikimate 1-carboxyvinyltransferase	HER17_RS12285 3-phosphoshikimate 1-carboxyvinyltransferase	-0.281696431247096
HER17_RS12295	HER17_RS12295	30S ribosomal protein S12 methylthiotransferase accessory protein YcaO	HER17_RS12295 30S ribosomal protein S12 methylthiotransferase accessory protein YcaO	0.249892218522563
HER17_RS12300	HER17_RS12300	formate transporter FocA	HER17_RS12300 formate transporter FocA	0.00893283701714465
HER17_RS12305	HER17_RS12305	formate C-acetyltransferase	HER17_RS12305 formate C-acetyltransferase	-0.0157131791209966
HER17_RS12310	HER17_RS12310	pyruvate formate lyase 1-activating protein	HER17_RS12310 pyruvate formate lyase 1-activating protein	0.219414925845632
HER17_RS12315	HER17_RS12315	hydantoinase/oxoprolinase family protein	HER17_RS12315 hydantoinase/oxoprolinase family protein	0.00814576509731535
HER17_RS12320	HER17_RS12320	DUF917 domain-containing protein	HER17_RS12320 DUF917 domain-containing protein	-0.0813053424632266
HER17_RS12325	HER17_RS12325	cytosine permease	HER17_RS12325 cytosine permease	0.00470949563917888
HER17_RS12330	HER17_RS12330	LysR family transcriptional regulator	HER17_RS12330 LysR family transcriptional regulator	-0.542385332866848
HER17_RS12335	HER17_RS12335	MFS transporter	HER17_RS12335 MFS transporter	0.0224065516380809
HER17_RS12345	HER17_RS12345	replication-associated recombination protein A	HER17_RS12345 replication-associated recombination protein A	0.260441019493061
HER17_RS12355	HER17_RS12355	DNA translocase FtsK 4TM domain-containing protein	HER17_RS12355 DNA translocase FtsK 4TM domain-containing protein	0.0346862400455301
HER17_RS12360	HER17_RS12360	leucine-responsive transcriptional regulator Lrp	HER17_RS12360 leucine-responsive transcriptional regulator Lrp	0.0176675682877963
HER17_RS12365	HER17_RS12365	thioredoxin-disulfide reductase	HER17_RS12365 thioredoxin-disulfide reductase	0.075535147515301
HER17_RS12370	HER17_RS12370	cysteine/glutathione ABC transporter permease/ATP-binding protein CydD	HER17_RS12370 cysteine/glutathione ABC transporter permease/ATP-binding protein CydD	-0.826364896453299
HER17_RS12380	HER17_RS12380	leucyl/phenylalanyl-tRNA--protein transferase	HER17_RS12380 leucyl/phenylalanyl-tRNA--protein transferase	-0.319549814658905
HER17_RS12390	HER17_RS12390	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	HER17_RS12390 aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	-0.00581946578792802
HER17_RS12395	HER17_RS12395	carboxymuconolactone decarboxylase family protein	HER17_RS12395 carboxymuconolactone decarboxylase family protein	0.14950818771001
HER17_RS12400	HER17_RS12400	ATP-dependent Clp protease ATP-binding subunit ClpA	HER17_RS12400 ATP-dependent Clp protease ATP-binding subunit ClpA	0.077408173782859
HER17_RS12405	HER17_RS12405	ATP-dependent Clp protease adapter ClpS	HER17_RS12405 ATP-dependent Clp protease adapter ClpS	0.419264200447659
HER17_RS12415	HER17_RS12415	ATP-dependent endonuclease	HER17_RS12415 ATP-dependent endonuclease	0.263935080558579
